No Soal,Part Nama,Nama File Audio,Kunci Jawaban,Pilihan A,Pilihan B,Pilihan C,Pilihan D,Audio Script,Pertanyaan,Penjelasan Lengkap
677,Part B: Long Conversation,listening_simulation_391.mp3,B,Cancel the project entirely.,Eat lunch and take a fifteen-minute walk to clear your mind.,Call the department head.,Buy a new digital manual.,"Man: Hi Jane, did you get the memo about the customer feedback compilation? 
Woman: Yes, but I am unable to back up the data before the computer crashed. 
Man: Don't worry. Let's grab lunch and we can take a fifteen-minute walk to clear your mind together.",What do the speakers plan to do?,Pertanyaan mengenai rencana tindakan. Pria mengajak wanita untuk makan siang bersama sambil melakukan penyelesaian yaitu take a fifteen-minute walk to clear your mind.
678,Part A (Suggestion),listening_simulation_392.mp3,A,Take immediate action to schedule an urgent one-on-one meeting with the director.,Ignore the supervisor and quit the current position.,Continue working despite being having a terrible misunderstanding with the logistics team.,Submit the report without reviewing the guidelines.,"Man: I am totally having a terrible misunderstanding with the logistics team. 
Woman: Why don't you schedule an urgent one-on-one meeting with the director before doing anything else? 
Narrator: What does the woman suggest the man do?",What does the woman suggest the man do?,Menguji struktur pemberian saran menggunakan pola 'Why don't you...'. Wanita menyarankan pria agar schedule an urgent one-on-one meeting with the director.
679,Part A (Suggestion),listening_simulation_393.mp3,A,Take immediate action to review the training video manual sent by the coordinator.,Ignore the supervisor and quit the current position.,Continue working despite being having a terrible misunderstanding with the logistics team.,Submit the report without reviewing the guidelines.,"Man: I am totally having a terrible misunderstanding with the logistics team. 
Woman: Why don't you review the training video manual sent by the coordinator before doing anything else? 
Narrator: What does the woman suggest the man do?",What does the woman suggest the man do?,Menguji struktur pemberian saran menggunakan pola 'Why don't you...'. Wanita menyarankan pria agar review the training video manual sent by the coordinator.
680,Part A (Suggestion),listening_simulation_394.mp3,A,Take immediate action to schedule an urgent one-on-one meeting with the director.,Ignore the supervisor and quit the current position.,Continue working despite being drowning under the immense workload this week.,Submit the report without reviewing the guidelines.,"Man: I am totally drowning under the immense workload this week. 
Woman: Why don't you schedule an urgent one-on-one meeting with the director before doing anything else? 
Narrator: What does the woman suggest the man do?",What does the woman suggest the man do?,Menguji struktur pemberian saran menggunakan pola 'Why don't you...'. Wanita menyarankan pria agar schedule an urgent one-on-one meeting with the director.
681,Part B: Long Conversation,listening_simulation_395.mp3,A,She is unable to back up the data before the computer crashed.,She forgot to attend the lunch meeting.,She lost the printed memo.,She wants to change teams.,"Man: Hi Jane, did you get the memo about the annual tax report? 
Woman: Yes, but I am unable to back up the data before the computer crashed. 
Man: Don't worry. Let's grab lunch and we can review the training video manual sent by the coordinator together.",What is the woman's main concern?,Pertanyaan mengenai permasalahan utama pembicara wanita. Wanita mengeluh bahwa ia sedang mengalami kendala yaitu unable to back up the data before the computer crashed.
682,Part B: Long Conversation,listening_simulation_395.mp3,B,Cancel the project entirely.,Eat lunch and review the training video manual sent by the coordinator.,Call the department head.,Buy a new digital manual.,"Man: Hi Jane, did you get the memo about the annual tax report? 
Woman: Yes, but I am unable to back up the data before the computer crashed. 
Man: Don't worry. Let's grab lunch and we can review the training video manual sent by the coordinator together.",What do the speakers plan to do?,Pertanyaan mengenai rencana tindakan. Pria mengajak wanita untuk makan siang bersama sambil melakukan penyelesaian yaitu review the training video manual sent by the coordinator.
683,Part B: Long Conversation,listening_simulation_396.mp3,A,She is having a terrible misunderstanding with the logistics team.,She forgot to attend the lunch meeting.,She lost the printed memo.,She wants to change teams.,"Man: Hi Jane, did you get the memo about the quarterly inventory log? 
Woman: Yes, but I am having a terrible misunderstanding with the logistics team. 
Man: Don't worry. Let's grab lunch and we can request a temporary extension from the management together.",What is the woman's main concern?,Pertanyaan mengenai permasalahan utama pembicara wanita. Wanita mengeluh bahwa ia sedang mengalami kendala yaitu having a terrible misunderstanding with the logistics team.
684,Part B: Long Conversation,listening_simulation_396.mp3,B,Cancel the project entirely.,Eat lunch and request a temporary extension from the management.,Call the department head.,Buy a new digital manual.,"Man: Hi Jane, did you get the memo about the quarterly inventory log? 
Woman: Yes, but I am having a terrible misunderstanding with the logistics team. 
Man: Don't worry. Let's grab lunch and we can request a temporary extension from the management together.",What do the speakers plan to do?,Pertanyaan mengenai rencana tindakan. Pria mengajak wanita untuk makan siang bersama sambil melakukan penyelesaian yaitu request a temporary extension from the management.
685,Part A (Idiom),listening_simulation_397.mp3,B,The man is sitting on the office boundary fence.,The man is undecided and needs to make a firm choice.,The man already completed the assigned spreadsheet.,The man wants to complain to the supervisor.,"Man: I am honestly still on the fence about finalizing the client's presentation slides. 
Woman: You need to make up your mind quickly, or the department head will be very disappointed. 
Narrator: What does the woman imply about the man?",What does the woman imply about the man?,Menguji idiom 'on the fence' (ragu-ragu) dan 'make up your mind' (mengambil keputusan). Pilihan B benar karena merefrasa makna idiom tersebut secara akurat.
686,Part C: Academic Talks,listening_simulation_398.mp3,A,A comprehensive analysis of conflict resolution in corporate teams.,An announcement about office vacation.,A historical overview of banking.,A health insurance policy briefing.,Speaker: Good morning class. Today we will explore conflict resolution in corporate teams. Establishing clear communication channels and setting neutral boundaries early helps prevent personal bias from derailing collaborative milestones. This study will serve as our primary benchmark for corporate productivity.,What is the primary subject of the talk?,Pertanyaan mengenai gagasan utama kuliah akademik. Pembicara menyatakan bahwa pembahasan hari ini berpusat pada analisis conflict resolution in corporate teams.
687,Part C: Academic Talks,listening_simulation_398.mp3,B,To reduce employee salaries.,To set a new benchmark for corporate productivity.,To redecorate the executive lounge.,To audit the accounting software.,Speaker: Good morning class. Today we will explore conflict resolution in corporate teams. Establishing clear communication channels and setting neutral boundaries early helps prevent personal bias from derailing collaborative milestones. This study will serve as our primary benchmark for corporate productivity.,What is the main goal of discussing this method?,Pertanyaan informasi spesifik. Pembicara menyebutkan bahwa tujuan studi ini adalah sebagai tolok ukur baru bagi produktivitas perusahaan.
688,Part C: Academic Talks,listening_simulation_399.mp3,A,A comprehensive analysis of conflict resolution in corporate teams.,An announcement about office vacation.,A historical overview of banking.,A health insurance policy briefing.,Speaker: Good morning class. Today we will explore conflict resolution in corporate teams. Establishing clear communication channels and setting neutral boundaries early helps prevent personal bias from derailing collaborative milestones. This study will serve as our primary benchmark for corporate productivity.,What is the primary subject of the talk?,Pertanyaan mengenai gagasan utama kuliah akademik. Pembicara menyatakan bahwa pembahasan hari ini berpusat pada analisis conflict resolution in corporate teams.
